LAT_LON,ZIP_CODE_IMPUTED
"40.66955, -73.94497",11213
"40.834515, -73.91771",10452
"40.675446, -73.81354",11420
"40.587147, -74.15391",10314
"40.865406, -73.86838",10467
"40.588886, -73.965645",11235
"40.611095, -74.11467",10310
"40.640553, -74.0043",11220
"40.74197, -73.84116",11368
"40.67398, -73.899315",11207
"40.849712, -73.94301",10033
"40.75175, -74.007935",10001
"40.738575, -73.845345",11368
"40.645344, -73.87897",11239
"40.702354, -73.818756",11418
"40.669403, -73.94221",11213
"40.71154, -73.83624",11415
"40.77674, -73.82433",11357
"40.823536, -73.93108",10451
"40.666534, -73.80995",11420
"40.661312, -73.77522",11434
"40.67642, -73.94154",11213
"40.81148, -73.9264",10454
"40.743164, -73.77733",11365
"40.727093, -73.99156",10003
"40.847908, -73.87121",10462
"40.611614, -73.97459",11230
"40.77456, -73.76602",11361
"40.637806, -74.128876",10302
"40.824158, -73.87462",10472
"40.817898, -73.938095",10030
"40.64453, -73.94599",11203
"40.5743, -73.98867",11224
"40.75826, -73.76829",11361
"40.65477, -74.00708",11209
"40.88974, -73.84591",10466
"40.72098, -73.98696",10002
"40.63443, -74.01606",11220
"40.69666, -73.93109",11221
"40.8307, -73.88519",10459
"40.75979, -73.98793",10036
"40.745235, -73.937706",11101
"40.654434, -73.86084",11414
"40.78461, -73.96984",10024
"40.636326, -73.958405",11230
"40.75372, -73.83283",11355
"40.666573, -73.811775",11420
"40.730846, -73.89146",11378
"40.81766, -73.93076",10451
"40.78614, -73.93929",10035
"40.70118, -73.98778",11251
"40.784943, -73.946594",10029
"40.650597, -73.97209",11218
"40.70166, -73.961464",11249
"40.764267, -73.722946",11020
"40.733536, -73.87035",11373
"40.737797, -73.8507",11368
"40.753693, -73.89831",11377
"40.651676, -74.010635",11232
"40.842197, -73.87215",10460
"40.798576, -73.97316",10025
"40.77178, -73.9792",10023
"40.692345, -73.88179",11385
"40.744576, -73.82581",11355
"40.600426, -73.941895",11229
"40.60589, -73.98972",11214
"40.692356, -73.94282",11221
"40.780693, -73.9466",10128
"40.66495, -73.993355",11215
"40.827343, -73.94279",10031
"40.77761, -73.74365",11363
"40.61242, -74.09936",10301
"40.749607, -73.89687",11377
"40.78503, -73.94058",10035
"40.697575, -73.984055",11201
"40.78775, -73.947464",10029
"40.681656, -73.76238",11434
"40.84487, -73.92068",10452
"40.787506, -73.9383",10035
"40.610912, -74.16142",10314
"40.679485, -73.897026",11207
"40.773365, -73.9068",11105
"40.575336, -73.996445",11224
"40.679737, -73.76162",11434
"40.689102, -73.94507",11216
"40.736145, -73.92651",11104
"40.700855, -73.86837",11421
"40.79486, -73.94649",10029
"40.762802, -73.965675",10065
"40.71976, -73.94476",11222
"40.696983, -73.935234",11207
"40.697193, -73.72752",11411
"40.784355, -73.98117",10024
"40.87029, -73.84318",10469
"40.725365, -73.89454",11378
"40.825504, -73.886086",10459
"40.791405, -73.93569",10035
"40.68949, -73.92207",11207
"40.862392, -73.91802",10034
"40.754986, -73.74535",11362
"40.66696, -73.77078",11434
"40.579803, -73.97184",12235
"40.74807, -73.83075",11355
"40.832027, -73.93528",10032
"40.74724, -73.73696",11362
"40.700497, -73.962555",11211
"40.667076, -73.78266",11434
"40.687325, -73.83525",11419
"40.689476, -73.82769",11419
"40.689808, -73.80931",11435
"40.844578, -73.902695",10457
"40.60457, -73.75355",11691
"40.75855, -73.82964",11354
"40.644073, -73.935394",11203
"40.85711, -73.93561",10040
"40.71373, -74.01385",10281
"40.753986, -73.80769",11358
"40.71122, -73.72827",11429
"40.583057, -73.973114",12235
"40.734795, -73.80115",11365
"40.76705, -73.887184",11370
"40.838757, -73.882904",10460
"40.58516, -73.9874",11224
"40.565235, -74.181404",10312
"40.73243, -73.83512",11367
"40.663906, -73.95098",11225
"40.85005, -73.91606",10453
"40.592815, -73.90808",11234
"40.856625, -73.8319",10461
"40.59455, -73.997574",11214
"40.85533, -73.93332",10040
"40.678722, -73.952995",11226
"40.817596, -73.95319",10031
"40.675735, -73.89686",11207
"40.795326, -73.9713",10025
"40.734978, -73.8614",11374
"40.690163, -73.98711",11201
"40.812572, -73.950935",10027
"40.743427, -73.775475",11365
"40.59124, -73.99402",11214
"40.845467, -73.92813",10033
"40.846466, -73.87123",10460
"40.684814, -73.98353",11217
"40.63082, -73.88636",11236
"40.710815, -73.98326",10002
"40.693523, -73.9522",11205
"40.69657, -73.95844",11205
"40.863705, -73.87207",10467
"40.68576, -73.915504",11207
"40.691097, -73.92296",11221
"40.696297, -73.97716",11251
"40.702564, -73.790565",11433
"40.689495, -73.75283",11412
"40.666294, -73.80267",11420
"40.577244, -74.00004",11224
"40.73093, -73.864586",11374
"40.60972, -74.1651",10314
"40.76289, -73.73384",11362
"40.845566, -73.92849",10033
"40.72568, -73.85728",11374
"40.730194, -73.887566",11373
"40.66706, -73.7392",11422
"40.646923, -73.92019",11236
"40.677578, -73.88602",11207
"40.740467, -73.97295",10010
"40.70313, -73.816795",11435
"40.541298, -74.20424",10309
"40.575024, -74.1183",10306
"40.824085, -73.874344",10472
"40.753937, -73.8603",11368
"40.6915, -73.90956",11207
"40.625984, -74.14859",10303
"40.81014, -73.93503",10030
"40.805836, -73.94691",10027
"40.865963, -73.92986",10034
"40.806335, -73.95588",10026
"40.847614, -73.887794",10457
"40.603783, -73.74558",11691
"40.828316, -73.93118",10039
"40.85288, -73.92025",10453
"40.858788, -73.92291",10034
"40.74206, -73.82453",11355
"40.848625, -73.92753",10034
"40.83639, -73.91588",10452
"40.770054, -73.914406",11103
"40.665154, -73.82774",11420
"40.819244, -73.891365",10474
"40.747974, -73.75999",11364
"40.86676, -73.920616",10034
"40.73639, -73.90972",11104
"40.616783, -73.89716",11236
"40.69246, -73.726875",11411
"40.89316, -73.852425",10466
"40.83516, -73.94561",10032
"40.669857, -73.95051",11235
"40.8396, -73.929474",10452
"40.738415, -73.84899",11368
"40.682194, -74.00239",11231
"40.70456, -73.856735",11385
"40.579174, -74.11483",10306
"40.62965, -73.990555",11219
"40.755222, -73.96135",10022
"40.715473, -73.95185",11249
"40.71652, -73.774254",11423
"40.806705, -73.952866",10026
"40.69467, -73.93115",11221
"40.804523, -73.95158",10026
"40.795963, -73.97084",10025
"40.622635, -74.16081",10303
"40.68348, -73.966896",11238
"40.7811, -73.77",11359
"40.71582, -73.81759",11367
"40.58624, -73.8132",11693
"40.785095, -73.97691",10024
"40.84744, -73.89968",10457
"40.70003, -73.78873",11433
"40.786484, -73.97218",10024
"40.594616, -73.99743",11214
"40.642548, -74.016655",11220
"40.86309, -73.88946",10458
"40.63665, -73.96805",11218
"40.828075, -73.88543",10459
"40.834095, -73.94983",10032
"40.694862, -73.81842",11419
"40.840496, -73.94599",10032
"40.620438, -74.1672",10303
"40.80641, -73.94227",10027
"40.857117, -73.89907",10458
"40.644455, -74.0183",11220
"40.714066, -73.94938",11211
"40.65965, -73.773834",11430
"40.852306, -73.89811",10457
"40.54833, -74.19398",10312
"40.631706, -73.94649",11210
